A_1_center,A_1_front,A_1_left,A_1_right,A_1_back,A_2_center,A_2_front,A_2_left,A_2_right,A_2_back,A_3_center,A_3_front,A_3_left,A_3_right,A_3_back,A_4_center,A_4_front,A_4_left,A_4_right,A_4_back,A_5_center,A_5_front,A_5_left,A_5_right,A_5_back,A_6_center,A_6_front,A_6_left,A_6_right,A_6_back,A_7_center,A_7_front,A_7_left,A_7_right,A_7_back,x,y,z,source_file,Objektname,Objektkategorie,OAufnahme,Schwierigkeit,Gewicht
0.522,-0.2317,0.5033,0.7913,-0.0905,6.734,7.1167,6.2729,5.4577,6.2767,0.9889,0.5087,-0.4033,0.5982,0.91,-5.1569,-6.2023,-4.9043,-3.7517,-4.8041,0.3088,0.4716,-1.0557,0.1655,1.8945,-0.2413,2.0093,-0.8296,-1.8265,-0.8146,0.2651,0.1799,0.3021,0.2685,0.1695,31.75,50.0,25.0,Rechteck_L_L_3.csv,Rechteck,3,2,1,127.8
0.4526,0.8212,0.4935,0.7004,-0.0651,6.605,7.249,6.1292,6.0064,6.2164,0.3501,0.2934,-0.3604,0.5869,0.9632,-5.0446,-6.3366,-4.7884,-3.9346,-4.7405,0.3011,0.0823,-1.0098,0.1464,1.9037,-0.3455,2.0241,-0.8708,-1.8943,-0.8484,0.2684,0.2551,0.2784,0.2268,0.1856,31.75,50.0,25.0,Rechteck_L_L_4.csv,Rechteck,3,2,1,127.8
0.4883,0.5917,0.3746,0.6942,0.0341,6.6825,7.35,6.083,5.9024,6.1729,0.3262,-0.1778,-0.5078,0.5857,1.034,-5.1279,-6.3513,-4.8007,-3.9369,-4.7446,0.3022,0.0985,-1.0366,0.1862,1.9123,-0.1824,2.0315,-0.8509,-1.8807,-0.8044,0.2672,0.2559,0.2888,0.2639,0.1779,31.75,50.0,25.0,Rechteck_L_L_5.csv,Rechteck,3,2,1,127.8
0.4616,0.6768,0.3776,0.8236,0.2486,6.757,7.2272,6.153,5.7564,6.2738,0.3431,0.1755,-0.4635,0.5753,1.1835,-5.1672,-6.3275,-4.8112,-3.9734,-4.8031,0.3104,0.1231,-1.0249,0.275,1.9365,-0.2467,2.0354,-0.8513,-1.7278,-0.792,0.2537,0.2489,0.2956,0.2654,0.1685,31.75,50.0,25.0,Rechteck_L_L_6.csv,Rechteck,3,2,1,127.8
0.529,0.8241,0.5004,0.3527,0.0949,6.6906,7.4645,6.1611,5.9989,6.3328,0.9869,0.548,-0.4157,0.4453,1.036,-5.0814,-6.4177,-4.8279,-3.9446,-4.8408,0.3166,0.0801,-1.0317,0.1629,1.915,-0.2515,2.0618,-0.889,-1.901,-0.7989,0.2561,0.2457,0.296,0.2255,0.1581,31.75,50.0,25.0,Rechteck_L_L_7.csv,Rechteck,3,2,1,127.8
0.4185,0.9435,0.5255,0.6752,0.3179,6.6167,7.3152,6.2193,5.6743,6.2301,0.9056,0.6062,-0.3738,0.5589,1.2189,-5.0879,-6.2572,-4.8883,-3.8062,-4.7695,0.314,0.0956,-1.04,0.5713,1.9394,-0.2629,2.0014,-0.8687,-1.8868,-0.8044,0.2563,0.2397,0.2878,0.2608,0.1696,25.0,31.75,50.0,Rechteck_H_L_U_1.csv,Rechteck,3,2,1,127.8
0.4301,0.0163,0.4715,0.7383,-0.0251,6.6382,7.2997,6.1863,5.956,6.3496,0.3545,0.1876,-0.4667,0.6785,0.9951,-5.144,-6.3583,-4.8408,-3.8874,-4.8882,0.2893,0.4807,-1.0538,0.1699,1.9126,-0.1501,2.0193,-0.8807,-1.9165,-0.8062,0.2584,0.177,0.2963,0.2346,0.1797,25.0,31.75,50.0,Rechteck_H_L_U_2.csv,Rechteck,3,2,1,127.8
0.3934,0.8418,0.4813,0.7592,0.0601,6.6498,7.2284,6.1157,5.8158,6.2202,0.85,0.46,-0.4179,0.6674,1.0501,-5.1228,-6.1794,-4.7769,-3.8639,-4.8182,0.3026,0.0918,-1.0508,0.4229,1.9156,-0.3212,1.9673,-0.8877,-1.8978,-0.8121,0.2536,0.2243,0.2962,0.261,0.1677,25.0,31.75,50.0,Rechteck_H_L_U_3.csv,Rechteck,3,2,1,127.8
0.4638,-0.1546,0.5106,0.6683,-0.0605,6.5752,7.3796,6.3046,5.6234,6.1932,0.8593,0.3804,-0.4227,0.7177,0.9893,-5.0818,-6.2756,-4.8736,-3.7721,-4.7936,0.2958,0.5096,-1.0318,0.5317,1.908,-0.1474,2.0263,-0.8666,-1.8824,-0.7868,0.2577,0.1782,0.2899,0.2293,0.1809,31.75,25.0,50.0,Rechteck_H_L_L_1.csv,Rechteck,3,2,1,127.8
0.4445,-0.3819,0.2212,-0.0847,0.1229,6.5841,7.1889,6.1656,5.7034,6.2298,0.91,0.4154,-0.6166,0.4881,1.1387,-5.0847,-6.1873,-4.7758,-3.8522,-4.8059,0.3095,0.5677,-1.0457,0.1619,1.9326,-0.3089,1.9961,-0.9128,-1.78,-0.8454,0.248,0.1711,0.2883,0.215,0.1778,31.75,25.0,50.0,Rechteck_H_L_L_2.csv,Rechteck,3,2,1,127.8
0.4886,0.8958,0.5177,0.7717,0.0238,6.7562,7.3569,6.3641,5.8159,6.2461,0.4354,0.3694,-0.469,0.6999,0.9924,-5.162,-6.3431,-4.9193,-3.8663,-4.7509,0.2991,0.0948,-1.0584,0.4569,1.8632,-0.2898,2.0359,-0.8551,-1.8786,-0.8657,0.2625,0.2166,0.2934,0.262,0.1727,31.75,25.0,50.0,Rechteck_H_L_L_3.csv,Rechteck,3,2,1,127.8
0.4018,0.7379,0.3863,0.6272,0.018,6.7026,7.2644,6.1849,5.7002,6.1231,0.8339,0.5649,-0.5172,0.7284,1.0811,-5.1223,-6.2662,-4.8617,-3.799,-4.7663,0.3137,0.3423,-1.0299,0.4625,1.9429,-0.3736,2.0162,-0.867,-1.8991,-0.8281,0.2536,0.2106,0.2826,0.2192,0.1722,50.0,25.0,31.75,Rechteck_V_L_U_1.csv,Rechteck,3,2,1,127.8
0.4616,0.5963,0.5574,0.5921,0.0128,6.6496,7.4242,6.1374,5.7792,6.1816,0.3621,0.2681,-0.3651,0.4803,1.0769,-5.1119,-6.2324,-4.8181,-3.8631,-4.7718,0.3082,0.4757,-0.9692,0.164,1.8902,-0.3433,2.0187,-0.86,-1.8928,-0.8296,0.2461,0.2336,0.2903,0.2184,0.1697,50.0,25.0,31.75,Rechteck_V_L_U_2.csv,Rechteck,3,2,1,127.8
